JT,IF,ISSN
CELL DIV,5.13,****-****
AMBIO,5.129,0044-7447
APPL MATH MODEL,5.129,0307-904X
J GEN INTERN MED,5.128,0884-8734
IMMUNOL CELL BIOL,5.126,0818-9641
INT J SOC ROBOT,5.126,1875-4791
EUR J AGRON,5.124,1161-0301
IEEE T TRANSP ELECTR,5.123,2332-7782
SCI CHINA PHYS MECH,5.122,1674-7348
J DRUG TARGET,5.121,1061-186X
INT J INTEGR CARE,5.12,1568-4156
MAR DRUGS,5.118,****-****
RMD OPEN,5.117,2056-5933
J NEUROSURG,5.115,0022-3085
GLOBAL PLANET CHANGE,5.114,0921-8181
CURR ATHEROSCLER REP,5.113,1523-3804
ACS SYNTH BIOL,5.11,2161-5063
MINER DEPOSITA,5.109,0026-4598
ANESTH ANALG,5.108,0003-2999
AEROSP SCI TECHNOL,5.107,1270-9638
J INFORMETR,5.107,1751-1577
J VIROL,5.103,0022-538X
ACS CHEM BIOL,5.1,1554-8929
BURNS TRAUMA,5.099,2321-3868
J MOL ENDOCRINOL,5.098,0952-5041
ACS APPL NANO MATER,5.097,2574-0970
NUTR DIABETES,5.097,2044-4052
APL MATER,5.096,2166-532X
CURR OSTEOPOROS REP,5.096,1544-1873
CANCER NANOTECHNOL,5.095,1868-6958
INT J OBESITY,5.095,0307-0565
VIRTUAL REAL-LONDON,5.095,1359-4338
JPN DENT SCI REV,5.093,1882-7616
EXPERT REV ANTI-INFE,5.091,1478-7210
FRONT MED-LAUSANNE,5.091,****-****
J ANIM ECOL,5.091,0021-8790
THER ADV CHRONIC DIS,5.091,2040-6223
CHINESE J CANCER RES,5.087,1000-9604
HISTOPATHOLOGY,5.087,0309-0167
ADV APPL MICROBIOL,5.086,0065-2164
APPL INTELL,5.086,0924-669X
INT J BIOCHEM CELL B,5.085,1357-2725
ACS INFECT DIS,5.084,2373-8227
IEEE T AUTOM SCI ENG,5.083,1545-5955
IEEE T COMMUN,5.083,0090-6778
BONE JOINT J,5.082,2049-4394
COGN NEURODYNAMICS,5.082,1871-4080
CURR NEUROL NEUROSCI,5.081,1528-4042
BIOLOGY-BASEL,5.079,****-****
NEW BIOTECHNOL,5.079,1871-6784
AIDS PATIENT CARE ST,5.078,1087-2914
NANOMATERIALS-BASEL,5.076,****-****
CURR ONCOL REP,5.075,1523-3790
HEPATOL COMMUN,5.073,****-****
CURR HIV-AIDS REP,5.071,1548-3568
PUBL ASTRON SOC JPN,5.071,0004-6264
NPJ SCI FOOD,5.07,****-****
PROG NEURO-PSYCHOPH,5.067,0278-5846
CAN J ANESTH,5.063,0832-610X
MOL CATAL,5.062,2468-8231
BIOMASS BIOENERG,5.061,0961-9534
NETWORKS,5.059,0028-3045
J ENZYM INHIB MED CH,5.051,1475-6366
VIRUSES-BASEL,5.048,****-****
STRUCT SAF,5.047,0167-4730
CELL MOL NEUROBIOL,5.046,0272-4340
EXPERT REV CLIN PHAR,5.045,1751-2433
CELLULOSE,5.044,0969-0239
AM J PREV MED,5.043,0749-3797
J MATER RES TECHNOL,5.039,2238-7854
HUM BRAIN MAPP,5.038,1065-9471
LIFE SCI,5.037,0024-3205
CURR TREAT OPTION ON,5.036,1527-2729
MOL CELLS,5.034,1016-8478
J AM STAT ASSOC,5.033,0162-1459
OCUL SURF,5.033,1542-0124
HUM GENE THER CL DEV,5.032,2324-8637
J ANIM SCI BIOTECHNO,5.032,1674-9782
SUSTAIN PROD CONSUMP,5.032,2352-5509
POLYM DEGRAD STABIL,5.03,0141-3910
INT J DAMAGE MECH,5.029,1056-7895
BIOL SEX DIFFER,5.027,****-****
SCAND J WORK ENV HEA,5.024,0355-3140
J HYDROL-REG STUD,5.023,****-****
NONLINEAR DYNAM,5.022,0924-090X
CLIN EXP ALLERGY,5.018,0954-7894
IEEE J SOLID-ST CIRC,5.013,0018-9200
INT J STEM EDUC,5.012,2196-7822
J ADOLESCENT HEALTH,5.012,1054-139X
GEOCHIM COSMOCHIM AC,5.01,0016-7037
J MANUF PROCESS,5.01,1526-6125
INT J HEALTH POLICY,5.007,****-****
CURR OPIN RHEUMATOL,5.006,1040-8711
GENE CHROMOSOME CANC,5.006,1045-2257
STRUCTURE,5.006,0969-2126
TRANSBOUND EMERG DIS,5.005,1865-1674
OBESITY,5.002,1930-7381
J MOL CELL CARDIOL,5,0022-2828
THER ADV PSYCHOPHARM,5,2045-1253
WIRES SYST BIOL MED,5,1939-5094
NUTR NEUROSCI,4.994,1028-415X
PLANT METHODS,4.993,****-****
GREEN CHEM LETT REV,4.99,1751-8253
BIOMASS CONVERS BIOR,4.987,2190-6815
PHYS REV APPL,4.985,2331-7019
J INHERIT METAB DIS,4.982,0141-8955
J INFLAMM-LOND,4.981,1476-9255
PHARMACOECONOMICS,4.981,1170-7690
SUSTAIN ENVIRON RES,4.98,2468-2039
MACROMOL BIOSCI,4.979,1616-5187
LAND DEGRAD DEV,4.977,1085-3278
AM J MED,4.965,0002-9343
J NAT GAS SCI ENG,4.965,1875-5100
PAIN PHYSICIAN,4.965,1533-3159
PROD OPER MANAG,4.965,1059-1478
AQUAT TOXICOL,4.964,0166-445X
PPAR RES,4.964,1687-4757
J LEUKOCYTE BIOL,4.962,0741-5400
ECOL INDIC,4.958,1470-160X
COMPUT GEOTECH,4.956,0266-352X
J CHEM INF MODEL,4.956,1549-9596
EPIGENET CHROMATIN,4.954,****-****
LWT-FOOD SCI TECHNOL,4.952,0023-6438
EUR J SOIL SCI,4.949,1351-0754
ARCH PHARM RES,4.946,0253-6269
J PERS MED,4.945,****-****
CARCINOGENESIS,4.944,0143-3334
RNA,4.942,1355-8382
MOL PHARMACEUT,4.939,1543-8384
SCHIZOPHR RES,4.939,0920-9964
TRANSPLANTATION,4.939,0041-1337
MOL SYST DES ENG,4.935,2058-9689
ENVIRON EVID,4.932,****-****
INT IMMUNOPHARMACOL,4.932,1567-5769
METABOLITES,4.932,****-****
IEEE T SIGNAL PROCES,4.931,1053-587X
JOINT BONE SPINE,4.929,1297-319X
SEMIN ONCOL,4.929,0093-7754
J ATHEROSCLER THROMB,4.928,1340-3478
COMPLEX INTELL SYST,4.927,2199-4536
MAMMAL REV,4.927,0305-1838
PLANT CELL PHYSIOL,4.927,0032-0781
J NEUROGASTROENTEROL,4.924,2093-0879
SOCIO-ECON PLAN SCI,4.923,0038-0121
ANN PHYS REHABIL MED,4.919,1877-0657
CURR OPIN INFECT DIS,4.915,0951-7375
COLLOID INTERFAC SCI,4.914,2215-0382
NEUROENDOCRINOLOGY,4.914,0028-3835
DNA REPAIR,4.913,1568-7864
FRONT MAR SCI,4.912,****-****
SKELET MUSCLE,4.912,2044-5040
MILBANK Q,4.911,0887-378X
BIOMED J,4.91,2319-4170
J ACAD NUTR DIET,4.91,2212-2672
PSYCHONEUROENDOCRINO,4.905,0306-4530
ADV CATAL,4.9,0360-0564
AM J EPIDEMIOL,4.897,0002-9262
CURR TOP DEV BIOL,4.897,0070-2153
PARKINSONISM RELAT D,4.891,1353-8020
CRIT REV THER DRUG,4.889,0743-4863
DYES PIGMENTS,4.889,0143-7208
GEOCARTO INT,4.889,1010-6049
ANTIMICROB RESIST IN,4.887,2047-2994
MANAGE SCI,4.883,0025-1909
FORENSIC SCI INT-GEN,4.882,1872-4973
NEUROIMAGE-CLIN,4.881,2213-1582
BIOMOLECULES,4.879,****-****
HUM MUTAT,4.878,1059-7794
SAFETY SCI,4.877,0925-7535
DIABETES-METAB RES,4.876,1520-7552
Q REV BIOL,4.875,0033-5770
ARCH BRONCONEUMOL,4.872,0300-2896
BREAST CANCER RES TR,4.872,0167-6806
TRIBOL INT,4.872,0301-679X
CELL IMMUNOL,4.868,0008-8749
PEDIATR DIABETES,4.866,1399-543X
INT J EAT DISORDER,4.861,0276-3478
ENVIRON TOXICOL PHAR,4.86,1382-6689
ANN OPER RES,4.854,0254-5330
JCO PRECIS ONCOL,4.853,****-****
WAVE RANDOM COMPLEX,4.853,1745-5030
TECTONICS,4.851,0278-7407
J METAMORPH GEOL,4.85,0263-4929
J NEUROL,4.849,0340-5354
TOXICOL SCI,4.849,1096-6080
REMOTE SENS-BASEL,4.848,****-****
DERMATITIS,4.845,1710-3568
PEST MANAG SCI,4.845,1526-498X
J HYPERTENS,4.844,0263-6352
J AFFECT DISORDERS,4.839,0165-0327
SURF INTERFACES,4.837,2468-0230
OPT LASER ENG,4.836,0143-8166
SEX MED REV,4.836,2050-0513
ADV POWDER TECHNOL,4.833,0921-8831
ADV ORGANOMET CHEM,4.833,0065-3055
COAST ENG,4.83,0378-3839
SPORTS MED-OPEN,4.83,2199-1170
INTEGR COMPUT-AID E,4.827,1069-2509
BIOGEOCHEMISTRY,4.825,0168-2563
INT IMMUNOL,4.823,0953-8178
EPIDEMIOLOGY,4.822,1044-3983
MICROCHEM J,4.821,0026-265X
Z MED PHYS,4.82,0939-3889
STRUCT CONTROL HLTH,4.819,1545-2255
J IMMUNOL RES,4.818,2314-8861
APPL MICROBIOL BIOT,4.813,0175-7598
J MAGN RESON IMAGING,4.813,1053-1807
CURR DIABETES REP,4.81,1534-4827
CURR ALLERGY ASTHM R,4.806,1529-7322
MINERVA MED,4.806,0026-4806
GEOL SOC AM BULL,4.799,0016-7606
INVEST OPHTH VIS SCI,4.799,0146-0404
ATMOS ENVIRON,4.798,1352-2310
J NUTR,4.798,0022-3166
ACM T INFORM SYST,4.797,1046-8188
MOL GENET METAB,4.797,1096-7192
HEALTH REP,4.796,0840-6529
ARTHRIT CARE RES,4.794,2151-464X
APPL ENVIRON MICROB,4.792,0099-2240
J PSYCHIATR RES,4.791,0022-3956
CLIN EPIDEMIOL,4.79,1179-1349
COMPUT MED IMAG GRAP,4.79,0895-6111
CLIN LUNG CANCER,4.785,1525-7304
EUR CHILD ADOLES PSY,4.785,1018-8827
PSYCHOL SPORT EXERC,4.785,1469-0292
MOL CARCINOGEN,4.784,0899-1987
RICE,4.783,1939-8425
BMB REP,4.778,1976-6696
BMC BIOPHYS,4.778,****-****
EPIGENOMICS-UK,4.778,1750-1911
CURR OPIN LIPIDOL,4.776,0957-9672
BIOCONJUGATE CHEM,4.774,1043-1802
JMIR MHEALTH UHEALTH,4.773,2291-5222
ARTHROSCOPY,4.772,0749-8063
INSECT SYST DIVER,4.771,****-****
PHYS LETT B,4.771,0370-2693
IUCRJ,4.769,2052-2525
J PHARM ANAL,4.769,2095-1779
J CLIN LIPIDOL,4.766,1933-2874
MINER ENG,4.765,0892-6875
INT REV PHYS CHEM,4.762,0144-235X
PALLIATIVE MED,4.762,0269-2163
AQUACULT ECON MANAG,4.761,1365-7305
J CHROMATOGR A,4.759,0021-9673
J ARTHROPLASTY,4.757,0883-5403
REV ESP CARDIOL,4.753,0300-8932
J ORTHOP SPORT PHYS,4.751,0190-6011
HUM-COMPUT INTERACT,4.75,0737-0024
ACS BIOMATER SCI ENG,4.749,2373-9878
AM HEART J,4.749,0002-8703
GCB BIOENERGY,4.745,1757-1693
LIMNOL OCEANOGR,4.745,0024-3590
CLIMATIC CHANGE,4.743,0165-0009
CANCER BIOL THER,4.742,1538-4047
CURR OPIN PSYCHIATR,4.741,0951-7367
ENDOCRIN METAB CLIN,4.741,0889-8529
BBA-MOL CELL RES,4.739,0167-4889
HERNIA,4.739,1265-4906
GEOCHEM T,4.737,1467-4866
ENDOCRINOLOGY,4.736,0013-7227
SURG OBES RELAT DIS,4.734,1550-7289
AM J PHYSIOL-HEART C,4.733,0363-6135
ADV WOUND CARE,4.73,2162-1918
PLAST RECONSTR SURG,4.73,0032-1052
PLANT SCI,4.729,0168-9452
PRECAMBRIAN RES,4.725,0301-9268
CASE STUD THERM ENG,4.724,2214-157X
ELECTROCHEM COMMUN,4.724,1388-2481
TRANSFUS MED REV,4.724,0887-7963
NEUROMODULATION,4.722,1094-7159
GEOPHYS RES LETT,4.72,0094-8276
HIGH VOLT,4.714,2397-7264
INSECT BIOCHEM MOLEC,4.714,0965-1748
MEDIAT INFLAMM,4.711,0962-9351
ANN MED,4.709,0785-3890
SYN SYST BIOTECHNO,4.708,2405-805X
FUNGAL BIOL REV,4.706,1749-4613
PHARMACOTHERAPY,4.705,0277-0008
INT J ROBOT RES,4.703,0278-3649
NANOSCALE RES LETT,4.703,1931-7573
GELS-BASEL,4.702,****-****
BBA-MOL CELL BIOL L,4.698,1388-1981
EUR HEART J-ACUTE CA,4.696,2048-8726
PIGM CELL MELANOMA R,4.693,1755-1471
BEST PRACT RES CL EN,4.69,1521-690X
CTS-CLIN TRANSL SCI,4.689,1752-8054
EUR J CLIN INVEST,4.686,0014-2972
IEEE T CIRC SYST VID,4.685,1051-8215
CANCER RES TREAT,4.679,1598-2998
APOPTOSIS,4.677,1360-8185
BIOTECHNOL J,4.677,1860-6768
FRONT NEUROSCI-SWITZ,4.677,****-****
PERSPECT ECOL CONSER,4.677,2530-0644
RES SPORTS MED,4.674,1543-8627
INT J FUZZY SYST,4.673,1562-2479
NEUROBIOL AGING,4.673,0197-4580
JPAD-J PREV ALZHEIM,4.671,2274-5807
J AM MED DIR ASSOC,4.669,1525-8610
MAGN RESON MED,4.668,0740-3194
AM J CHINESE MED,4.667,0192-415X
J RHEUMATOL,4.666,0315-162X
VEHICLE SYST DYN,4.665,0042-3114
REJUV RES,4.663,1549-1684
SIGNAL PROCESS,4.662,0165-1684
INT J WATER RESOUR D,4.66,0790-0627
ECOL APPL,4.657,1051-0761
ACM T INTEL SYST TEC,4.654,2157-6904
COMMUN ACM,4.654,0001-0782
NEUROSURGERY,4.654,0148-396X
EAT WEIGHT DISORD-ST,4.652,1124-4909
RNA BIOL,4.652,1547-6286
B AM MUS NAT HIST,4.65,0003-0090
J PROSTHODONT RES,4.642,1883-1958
MATER RES BULL,4.641,0025-5408
J COMPUT CIVIL ENG,4.64,0887-3801
ANTIBIOTICS-BASEL,4.639,2079-6382
HUM GENOMICS,4.639,1473-9542
BRIT J OPHTHALMOL,4.638,0007-1161
BIOMOL THER,4.634,1976-9148
CARTILAGE,4.634,1947-6035
SOC SCI MED,4.634,0277-9536
INT J ELEC POWER,4.63,0142-0615
J THERM ANAL CALORIM,4.626,1388-6150
NETW NEUROSCI,4.625,2472-1751
UNITED EUR GASTROENT,4.623,2050-6406
EFORT OPEN REV,4.618,2396-7544
EXPERT REV NEUROTHER,4.618,1473-7175
DRUG DELIV TRANSL RE,4.617,2190-393X
ANALYST,4.616,0003-2654
MATER MANUF PROCESS,4.616,1042-6914
BMC MED RES METHODOL,4.615,****-****
JAMA FACIAL PLAST SU,4.611,2168-6076
ENVIRON GEOCHEM HLTH,4.609,0269-4042
PROBIOTICS ANTIMICRO,4.609,1867-1306
RETROVIROLOGY,4.602,****-****
EUR NEUROPSYCHOPHARM,4.6,0924-977X
FRONT GENET,4.599,****-****
INT J SPORT NUTR EXE,4.599,1526-484X
J MOL MED,4.599,0946-2716
EUR POLYM J,4.598,0014-3057
CURR RHEUMATOL REP,4.592,1523-3774
FRONT MED-PRC,4.592,2095-0217
LIFE SCI ALLIANCE,4.591,****-****
CHEMELECTROCHEM,4.59,2196-0216
EUR PHYS J C,4.59,1434-6044
COMPUT BIOL MED,4.589,0010-4825
DIS COLON RECTUM,4.585,0012-3706
SURG ENDOSC,4.584,0930-2794
FISH SHELLFISH IMMUN,4.581,1050-4648
FRONT ENV SCI-SWITZ,4.581,****-****
IEEE T VIS COMPUT GR,4.579,1077-2626
BIORESOUR BIOPROCESS,4.578,****-****
COMPUT STRUCT,4.578,0045-7949
SOC SCI COMPUT REV,4.578,0894-4393
J SUPERCRIT FLUID,4.577,0896-8446
INFLAMM RES,4.575,1023-3830
ECONOMET J,4.571,1368-4221
WORLD J PSYCHIATR,4.571,2220-3206
PLANT CELL REP,4.57,0721-7714
CHEM-ASIAN J,4.568,1861-4728
EXTREME MECH LETT,4.567,2352-4316
FRONT PHYSIOL,4.566,1664-042X
J GENE MED,4.565,1099-498X
SCI TECHNOL WELD JOI,4.564,1362-1718
J DERMATOL SCI,4.563,0923-1811
GENETICS,4.562,0016-6731
ZOOL RES,4.56,2095-8137
J FOOD COMPOS ANAL,4.556,0889-1575
J CANCER RES CLIN,4.553,0171-5216
NANOSCALE ADV,4.553,2516-0230
FOOD POLICY,4.552,0306-9192
MICROB ECOL,4.552,0095-3628
TOXINS,4.546,****-****
IEEE J SEL TOP QUANT,4.544,1077-260X
STRUCT MULTIDISCIP O,4.542,1615-147X
BIOL DIRECT,4.54,****-****
COLLOID SURFACE A,4.539,0927-7757
IEEE T BIO-MED ENG,4.538,0018-9294
URBAN FOR URBAN GREE,4.537,1618-8667
ADIPOCYTE,4.534,2162-3945
CELL CYCLE,4.534,1538-4101
COMMENT INORG CHEM,4.533,0260-3594
BUS INFORM SYST ENG+,4.532,2363-7005
BIOTECHNOL BIOENG,4.53,0006-3592
CURR MED CHEM,4.53,0929-8673
PSYCHOPHARMACOLOGY,4.53,0033-3158
GEOHEALTH,4.529,2471-1403
EPIGENETICS-US,4.528,1559-2294
FRONT MECH ENG-PRC,4.528,2095-0233
CERAM INT,4.527,0272-8842
METALLOMICS,4.526,1756-5901
MATER TODAY SUSTAIN,4.524,2589-2347
INFECT DIS POVERTY,4.52,2095-5162
GUT LIVER,4.519,1976-2283
DRUG METAB REV,4.518,0360-2532
AGR WATER MANAGE,4.516,0378-3774
J PETROL,4.515,0022-3530
CURR RES TRANSL MED,4.513,2452-3186
HLA,4.513,2059-2302
EXPERT REV ANTICANC,4.512,1473-7140
ANN CLIN TRANSL NEUR,4.511,2328-9503
ADV WATER RESOUR,4.51,0309-1708
SUSTAIN CHEM PHARM,4.508,****-****
OSTEOPOROSIS INT,4.507,0937-941X
FRONT SYNAPTIC NEURO,4.506,1663-3563
J FRANKLIN I,4.504,0016-0032
INT J SMART NANO MAT,4.5,1947-5411
PHYSIOL PLANTARUM,4.5,0031-9317
J AM MED INFORM ASSN,4.497,1067-5027
TARGET ONCOL,4.493,1776-2596
DRUG ALCOHOL DEPEN,4.492,0376-8716
EUR J CELL BIOL,4.492,0171-9335
BBA-GENE REGUL MECH,4.49,1874-9399
ECON GEOL,4.49,0361-0128
CLIN TRANSL GASTROEN,4.488,****-****
J R STAT SOC B,4.488,1369-7412
MOL IMAGING,4.488,1536-0121
EUR J INTERN MED,4.487,0953-6205
CLIN COLORECTAL CANC,4.481,1533-0028
EXPERT OPIN DRUG MET,4.481,1742-5255
FOOD BIOPROD PROCESS,4.481,0960-3085
RESULTS PHYS,4.476,2211-3797
PLOS COMPUT BIOL,4.475,1553-734X
COMPUT NETW,4.474,1389-1286
CLIN EXP RHEUMATOL,4.473,0392-856X
EXPERT REV CLIN IMMU,4.473,1744-666X
INFLAMMOPHARMACOLOGY,4.473,0925-4692
IEEE J EM SEL TOP P,4.472,2168-6777
J ALZHEIMERS DIS,4.472,1387-2877
ENG STRUCT,4.471,0141-0296
CLIN TOXICOL,4.467,1556-3650
CURR OPIN BEHAV SCI,4.466,2352-1546
J PROTEOME RES,4.466,1535-3893
FOOD BIOPROCESS TECH,4.465,1935-5130
J ELECTROANAL CHEM,4.464,1572-6657
J MED SYST,4.46,0148-5598
BIOL CELL,4.458,0248-4900
CLIN INTERV AGING,4.458,****-****
DNA RES,4.458,1340-2838
J IMMUNOTHER,4.456,1524-9557
SPACE WEATHER,4.456,****-****
EPJ QUANTUM TECHNOL,4.455,2662-4400
CANCER MED-US,4.452,2045-7634
CLIN KIDNEY J,4.452,2048-8505
DRY TECHNOL,4.452,0737-3937
J FUNCT FOODS,4.451,1756-4646
SLEEP HEALTH,4.45,2352-7218
SEMIN NUCL MED,4.446,0001-2998
J CANCER SURVIV,4.442,1932-2259
THIN WALL STRUCT,4.442,0263-8231
CLIN GENET,4.438,0009-9163
COMPUT SECUR,4.438,0167-4048
PLANT DIS,4.438,0191-2917
ACTA DERM-VENEREOL,4.437,0001-5555
MOL PHARMACOL,4.436,0026-895X
CLIN AUTON RES,4.435,0959-9851
EUR J PHARMACOL,4.432,0014-2999
BMC CANCER,4.43,****-****
EARTHQ ENG STRUCT D,4.43,0098-8847
POLYMER,4.43,0032-3861
REV FISH BIOL FISHER,4.43,0960-3166
J CELL BIOCHEM,4.429,0730-2312
J SUSTAIN CEM-BASED,4.429,2165-0373
NITRIC OXIDE-BIOL CH,4.427,1089-8603
EJSO-EUR J SURG ONC,4.424,0748-7983
IEEE T RELIAB,4.424,0018-9529
VACCINES-BASEL,4.422,****-****
J PERIODONTAL RES,4.419,0022-3484
ACS CHEM NEUROSCI,4.418,1948-7193
NPJ MICROGRAVITY,4.415,****-****
J GLOB HEALTH,4.413,2047-2978
REDOX REP,4.412,1351-0002
USER MODEL USER-ADAP,4.412,0924-1868
ESC HEART FAIL,4.411,2055-5822
MOLECULES,4.411,****-****
PLOS NEGLECT TROP D,4.411,1935-2735
THER ADV GASTROENTER,4.409,1756-283X
J RHEOL,4.408,0148-6055
CROP J,4.407,2095-5421
GEOBIOLOGY,4.407,1472-4677
MOL IMMUNOL,4.407,0161-5890
ENG FRACT MECH,4.406,0013-7944
INT J ROBUST NONLIN,4.406,1049-8923
J PEDIATR-US,4.406,0022-3476
ECOL SOC,4.403,1708-3087
OCCUP ENVIRON MED,4.402,1351-0711
ALGAL RES,4.401,2211-9264
J GYNECOL ONCOL,4.401,2005-0380
J MICROBIOL IMMUNOL,4.399,1684-1182
BONE,4.398,8756-3282
EPIDEMICS-NETH,4.396,1755-4365
J BIOMED MATER RES A,4.396,1549-3296
CURR GENE THER,4.391,1566-5232
COMPUT PHYS COMMUN,4.39,0010-4655
DALTON T,4.39,1477-9226
EARTH SURF DYNAM,4.39,2196-6311
MSPHERE,4.389,2379-5042
CANCER BIOMARK,4.388,1574-0153
CNS NEUROL DISORD-DR,4.388,1871-5273
EXPERT OPIN BIOL TH,4.388,1471-2598
IEEE T ANTENN PROPAG,4.388,0018-926X
JMIR MENT HEALTH,4.388,2368-7959
EUR J PHARM SCI,4.384,0928-0987
J CLIN PSYCHIAT,4.384,0160-6689
BREAST,4.38,0960-9776
INFLUENZA OTHER RESP,4.38,1750-2640
SCI CHINA INFORM SCI,4.38,1674-733X
J DENT,4.379,0300-5712
SCI REP-UK,4.379,2045-2322
MYCOSES,4.377,0933-7407
CLIM DYNAM,4.375,0930-7575
J ONCOL,4.375,1687-8450
INT J DAIRY TECHNOL,4.374,1364-727X
TOXICOL LETT,4.372,0378-4274
EUR HEART J-QUAL CAR,4.37,2058-5225
ARCH CIV MECH ENG,4.369,1644-9665
PERMAFROST PERIGLAC,4.368,1045-6740
SCI CHINA EARTH SCI,4.368,1674-7313
MACROMOL MATER ENG,4.367,1438-7492
DRUG DEVELOP RES,4.36,0272-4391
ENG SCI TECHNOL,4.36,2215-0986
J ETHNOPHARMACOL,4.36,0378-8741
DIABETIC MED,4.359,0742-3071
ANN BOT-LONDON,4.357,0305-7364
FRONT ENV SCI ENG,4.357,2095-2201
CAN J PSYCHIAT,4.356,0706-7437
CYTOM PART A,4.355,1552-4922
J BIOL ENG,4.355,1754-1611
J ORG CHEM,4.354,0022-3263
REV NEUROSCIENCE,4.353,0334-1763
ATMOS POLLUT RES,4.352,1309-1042
ENTERP INF SYST-UK,4.35,1751-7575
FOODS,4.35,****-****
NPJ SCI LEARN,4.35,****-****
J HYDROMETEOROL,4.349,1525-755X
J ORGAN END USER COM,4.349,1546-2234
IEEE WIREL COMMUN LE,4.348,2162-2337
MAR PETROL GEOL,4.348,0264-8172
J PETROL SCI ENG,4.346,0920-4105
ACS MED CHEM LETT,4.345,1948-5875
BIOESSAYS,4.345,0265-9247
NAT HAZARD EARTH SYS,4.345,1561-8633
EUR J INFORM SYST,4.344,0960-085X
KNEE SURG SPORT TR A,4.342,0942-2056
MATER CHARACT,4.342,1044-5803
MATURITAS,4.342,0378-5122
PATHOBIOLOGY,4.342,1015-2008
IEEE T COGN COMMUN,4.341,2332-7731
INT J BIPOLAR DISORD,4.34,2194-7511
MULT SCLER RELAT DIS,4.339,2211-0348
J ROCK MECH GEOTECH,4.338,1674-7755
ASTROBIOLOGY,4.335,1531-1074
BRIT J CLIN PHARMACO,4.335,0306-5251
CALCIFIED TISSUE INT,4.333,0171-967X
INTERNET INTERV,4.333,****-****
J INVEST ALLERG CLIN,4.333,1018-9068
J RURAL HEALTH,4.333,0890-765X
ANN THORAC SURG,4.33,0003-4975
CLIN EXP IMMUNOL,4.33,0009-9104
EUR J ANAESTH,4.33,0265-0215
SAUDI PHARM J,4.33,1319-0164
POLYMERS-BASEL,4.329,****-****
SOC PSYCH PSYCH EPID,4.328,0933-7954
VIROL SIN,4.327,1674-0769
J BIOGEOGR,4.324,0305-0270
INT BIODETER BIODEGR,4.32,0964-8305
INT J DISAST RISK RE,4.32,2212-4209
J SCI MED SPORT,4.319,1440-2440
ICT EXPRESS,4.317,2405-9595
CHROMOSOMA,4.316,0009-5915
J ELECTROCHEM SOC,4.316,0013-4651
CELL SIGNAL,4.315,0898-6568
BIOCYBERN BIOMED ENG,4.314,0208-5216
MOL CELL NEUROSCI,4.314,1044-7431
GLYCOBIOLOGY,4.313,0959-6658
IEEE T ENERGY CONVER,4.312,0885-8969
PSYCHOSOM MED,4.312,0033-3174
CHEM ENG SCI,4.311,0009-2509
AM J PHYSIOL-ENDOC M,4.31,0193-1849
J CARDIOVASC COMPUT,4.309,1934-5925
BASIN RES,4.308,0950-091X
AM J PATHOL,4.307,0002-9440
HISTOCHEM CELL BIOL,4.304,0948-6143
INT J ELECTRON COMM,4.3,1086-4415
B ENG GEOL ENVIRON,4.298,1435-9529
GENET SEL EVOL,4.297,0999-193X
NEUROMUSCULAR DISORD,4.296,0960-8966
BIOGEOSCIENCES,4.295,1726-4170
CLIM PAST,4.295,1814-9324
CURR OPIN CLIN NUTR,4.294,1363-1950
NEUROTOXICOLOGY,4.294,0161-813X
J STEROID BIOCHEM,4.292,0960-0760
ARCH IMMUNOL THER EX,4.291,0004-069X
BRIT MED BULL,4.291,0007-1420
CURR TOP MICROBIOL,4.291,0070-217X
J PHOTOCH PHOTOBIO A,4.291,1010-6030
METABOLOMICS,4.29,1573-3882
GEO-SPAT INF SCI,4.288,1009-5020
HEPATOL RES,4.288,1386-6346
HAEMOPHILIA,4.287,1351-8216
J ENDOCRINOL,4.286,0022-0795
MOL PHYLOGENET EVOL,4.286,1055-7903
PROG OPTICS,4.286,0079-6638
BIOL REPROD,4.285,0006-3363
GEOTHERMICS,4.284,0375-6505
AESTHET SURG J,4.283,1090-820X
CURR OPIN HIV AIDS,4.283,1746-630X
POLYM TEST,4.282,0142-9418
ACTA DIABETOL,4.28,0940-5429
ADDICT BIOL,4.28,1355-6215
ADV NONLINEAR ANAL,4.279,2191-9496
BIOGERONTOLOGY,4.277,1389-5729
J INTELL TRANSPORT S,4.277,1547-2450
J GENET GENOMICS,4.275,1673-8527
ACTA MATH-DJURSHOLM,4.273,0001-5962
HARMFUL ALGAE,4.273,1568-9883
MOL CELL BIOL,4.272,0270-7306
PLANT PHYSIOL BIOCH,4.27,0981-9428
J VASC SURG,4.268,0741-5214
HEALTH PSYCHOL,4.267,0278-6133
TOXIN REV,4.266,1556-9543
INT J NUMER ANAL MET,4.264,0363-9061
J NEUROENG REHABIL,4.262,****-****
J GEOPHYS RES-ATMOS,4.261,2169-897X
COMMUN NONLINEAR SCI,4.26,1007-5704
J GEODESY,4.26,0949-7714
J ASTHMA ALLERGY,4.258,1178-6965
J ENDOCRINOL INVEST,4.256,0391-4097
RETINA-J RET VIT DIS,4.256,0275-004X
CANCER EPIDEM BIOMAR,4.254,1055-9965
J ORAL PATHOL MED,4.253,0904-2512
ENVIRON SCI-WAT RES,4.251,2053-1400
EXPERT OPIN DRUG SAF,4.25,1474-0338
AM J PHYSIOL-CELL PH,4.249,0363-6143
