"issn","jfull","jabbr","impact"
"1091-5362","Molecular urology","Mol Urol",NA
"1526-744X","Nephrology nursing journal : journal of the American Nephrology Nurses' Association","Nephrol Nurs J",0.959
"2156-4574","African journal of herpetology : journal of the Herpetological Association of Africa","Afr J Herpetol",0.611
"2153-3660","African journal of herpetology : journal of the Herpetological Association of Africa","Afr J Herpetol",NA
"1438-2377","European food research and technology = Zeitschrift fur Lebensmittel-Untersuchung und -Forschung. A","Eur Food Res Technol",2.998
"1532-0820","Comparative medicine","Comp Med",0.982
"2769-819X","Comparative medicine","Comp Med",NA
"2067-2993","Pneumologia (Bucharest, Romania)","Pneumologia",NA
"1529-2908","Nature immunology","Nat Immunol",25.606
"1529-2916","Nature immunology","Nat Immunol",NA
"1439-6319","European journal of applied physiology","Eur J Appl Physiol",3.078
"1439-6327","European journal of applied physiology","Eur J Appl Physiol",NA
"0931-1793","Journal of veterinary medicine. B, Infectious diseases and veterinary public health","J Vet Med B Infect Dis Vet Public Health",NA
"1439-0450","Journal of veterinary medicine. B, Infectious diseases and veterinary public health","J Vet Med B Infect Dis Vet Public Health",NA
"1043-4046","Advances in physiology education","Adv Physiol Educ",2.288
"1522-1229","Advances in physiology education","Adv Physiol Educ",NA
"1097-9336","In vitro & molecular toxicology","In Vitr Mol Toxicol",NA
"1389-1723","Journal of bioscience and bioengineering","J Biosci Bioeng",2.894
"1347-4421","Journal of bioscience and bioengineering","J Biosci Bioeng",NA
"1526-484X","International journal of sport nutrition and exercise metabolism","Int J Sport Nutr Exerc Metab",4.599
"1543-2742","International journal of sport nutrition and exercise metabolism","Int J Sport Nutr Exerc Metab",NA
"1424-7364","Forschende Komplementarmedizin und klassische Naturheilkunde = Research in complementary and natural classical medicine","Forsch Komplementarmed Klass Naturheilkd",NA
"1529-5044","Mouth (American Student Dental Association)","Mouth",NA
"1465-3125","Journal of orthodontics","J Orthod",NA
"1465-3133","Journal of orthodontics","J Orthod",NA
"1531-0132","MedGenMed : Medscape general medicine","MedGenMed",NA
"1467-4734","Symposium series (Society for Applied Microbiology)","Symp Ser Soc Appl Microbiol",NA
"0366-6352","Chemicke zvesti","Chem Zvesti",NA
"1336-9075","Chemicke zvesti","Chem Zvesti",NA
"0013-936X","Environmental science & technology","Environ Sci Technol",9.028
"1520-5851","Environmental science & technology","Environ Sci Technol",NA
"0254-4059","Chinese journal of oceanology and limnology = Zhongguo hai yang hu zhao xue bao","Chin J Oceanol Limnol",NA
"1535-7414","Alcohol research & health : the journal of the National Institute on Alcohol Abuse and Alcoholism","Alcohol Res Health",NA
"1930-0573","Alcohol research & health : the journal of the National Institute on Alcohol Abuse and Alcoholism","Alcohol Res Health",NA
"1061-9259","The Case manager","Case Manager",NA
"1532-6527","The Case manager","Case Manager",NA
"1098-7126","CIN plus","CIN Plus",NA
"0968-7912","Down's syndrome, research and practice : the journal of the Sarah Duffen Centre","Downs Syndr Res Pract",NA
"1753-7606","Down's syndrome, research and practice : the journal of the Sarah Duffen Centre","Downs Syndr Res Pract",NA
"1441-0745","Nursing & health sciences","Nurs Health Sci",1.857
"1442-2018","Nursing & health sciences","Nurs Health Sci",NA
"1080-7543","School nurse news","School Nurse News",NA
"0740-0020","Food microbiology","Food Microbiol",5.516
"1095-9998","Food microbiology","Food Microbiol",NA
"0889-8537","Anesthesiology clinics of North America","Anesthesiol Clin North Am",NA
"1558-4259","Anesthesiology clinics of North America","Anesthesiol Clin North Am",NA
"1541-2016","Applied immunohistochemistry & molecular morphology : AIMM","Appl Immunohistochem Mol Morphol",2.085
"1533-4058","Applied immunohistochemistry & molecular morphology : AIMM","Appl Immunohistochem Mol Morphol",NA
"1521-2491","Archives of facial plastic surgery","Arch Facial Plast Surg",NA
"1538-3660","Archives of facial plastic surgery","Arch Facial Plast Surg",NA
"1294-9361","Epileptic disorders : international epilepsy journal with videotape","Epileptic Disord",1.819
"1950-6945","Epileptic disorders : international epilepsy journal with videotape","Epileptic Disord",NA
"0947-6075","Ernst Schering Research Foundation workshop","Ernst Schering Res Found Workshop",NA
"1041-0236","Health communication","Health Commun",NA
"1532-7027","Health communication","Health Commun",NA
"1074-7583","Journal of agricultural safety and health","J Agric Saf Health",NA
"1083-3668","Journal of biomedical optics","J Biomed Opt",3.17
"1560-2281","Journal of biomedical optics","J Biomed Opt",NA
"1076-898X","Journal of experimental psychology. Applied","J Exp Psychol Appl",NA
"1939-2192","Journal of experimental psychology. Applied","J Exp Psychol Appl",NA
"1482-1826","Journal of pharmacy & pharmaceutical sciences : a publication of the Canadian Society for Pharmaceutical Sciences, Societe canadienne des sciences pharmaceutiques","J Pharm Pharm Sci",2.327
"1401-5439","Logopedics, phoniatrics, vocology","Logoped Phoniatr Vocol",1.487
"1651-2022","Logopedics, phoniatrics, vocology","Logoped Phoniatr Vocol",NA
"1386-7423","Medicine, health care, and philosophy","Med Health Care Philos",NA
"1572-8633","Medicine, health care, and philosophy","Med Health Care Philos",NA
"1080-4013","Mental retardation and developmental disabilities research reviews","Ment Retard Dev Disabil Res Rev",NA
"1098-2779","Mental retardation and developmental disabilities research reviews","Ment Retard Dev Disabil Res Rev",NA
"1096-7176","Metabolic engineering","Metab Eng",9.783
"1096-7184","Metabolic engineering","Metab Eng",NA
"1525-0016","Molecular therapy : the journal of the American Society of Gene Therapy","Mol Ther",11.454
"1525-0024","Molecular therapy : the journal of the American Society of Gene Therapy","Mol Ther",NA
"0893-6080","Neural networks : the official journal of the International Neural Network Society","Neural Netw",8.05
"1879-2782","Neural networks : the official journal of the International Neural Network Society","Neural Netw",NA
"0919-6544","Neuropathology : official journal of the Japanese Society of Neuropathology","Neuropathology",1.906
"1440-1789","Neuropathology : official journal of the Japanese Society of Neuropathology","Neuropathology",NA
"1462-2203","Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco","Nicotine Tob Res",4.244
"1469-994X","Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco","Nicotine Tob Res",NA
"1174-5878","Paediatric drugs","Paediatr Drugs",3.022
"1179-2019","Paediatric drugs","Paediatr Drugs",NA
"1386-341X","Pituitary","Pituitary",4.107
"1573-7403","Pituitary","Pituitary",NA
"0953-7104","Platelets","Platelets",3.862
"1369-1635","Platelets","Platelets",NA
"1082-989X","Psychological methods","Psychol Methods",NA
"1939-1463","Psychological methods","Psychol Methods",NA
"0929-7049","Child neuropsychology : a journal on normal and abnormal development in childhood and adolescence","Child Neuropsychol",2.5
"1744-4136","Child neuropsychology : a journal on normal and abnormal development in childhood and adolescence","Child Neuropsychol",NA
"1532-1908","Bailliere's best practice & research. Clinical endocrinology & metabolism","Baillieres Best Pract Res Clin Endocrinol Metab",NA
"1099-9809","Cultural diversity & ethnic minority psychology","Cultur Divers Ethnic Minor Psychol",NA
"1608-8115","Acta paediatrica Taiwanica = Taiwan er ke yi xue hui za zhi","Acta Paediatr Taiwan",NA
"0887-3852","AIDS & public policy journal","AIDS Public Policy J",NA
"1684-1182","Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi","J Microbiol Immunol Infect",4.399
"1995-9133","Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi","J Microbiol Immunol Infect",NA
"1063-3189","Issue Brief (Public Policy Institute (American Association of Retired Persons))","Issue Brief (Public Policy Inst (Am Assoc Retired Pers))",NA
"1345-3475","Journal of physiological anthropology and applied human science","J Physiol Anthropol Appl Human Sci",NA
"1347-5355","Journal of physiological anthropology and applied human science","J Physiol Anthropol Appl Human Sci",NA
"1607-551X","The Kaohsiung journal of medical sciences","Kaohsiung J Med Sci",2.744
"2410-8650","The Kaohsiung journal of medical sciences","Kaohsiung J Med Sci",NA
"1528-7394","Journal of toxicology and environmental health. Part A","J Toxicol Environ Health A",2.527
"1537-6583","Early pregnancy","Early Pregnancy (Cherry Hill)",NA
"1525-4135","Journal of acquired immune deficiency syndromes (1999)","J Acquir Immune Defic Syndr",3.731
"1944-7884","Journal of acquired immune deficiency syndromes (1999)","J Acquir Immune Defic Syndr",NA
"1442-6404","Clinical & experimental ophthalmology","Clin Exp Ophthalmol",4.207
"1442-9071","Clinical & experimental ophthalmology","Clin Exp Ophthalmol",NA
"1526-9248","Progress in transplantation (Aliso Viejo, Calif.)","Prog Transplant",1.187
"2164-6708","Progress in transplantation (Aliso Viejo, Calif.)","Prog Transplant",NA
"1590-1874","Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology","Neurol Sci",3.307
"1590-3478","Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology","Neurol Sci",NA
"0022-2402","Journal of marine research","J Mar Res",NA
"0022-2933","Journal of natural history","J Nat Hist",1.016
"1522-8037","Current gastroenterology reports","Curr Gastroenterol Rep",NA
"1534-312X","Current gastroenterology reports","Curr Gastroenterol Rep",NA
"1522-6417","Current hypertension reports","Curr Hypertens Rep",5.369
"1534-3111","Current hypertension reports","Curr Hypertens Rep",NA
"1523-3782","Current cardiology reports","Curr Cardiol Rep",2.931
"1534-3170","Current cardiology reports","Curr Cardiol Rep",NA
"1069-5850","Current review of pain","Curr Rev Pain",NA
"0022-2895","Journal of motor behavior","J Mot Behav",1.328
"1940-1027","Journal of motor behavior","J Mot Behav",NA
"1438-4639","International journal of hygiene and environmental health","Int J Hyg Environ Health",5.84
"1618-131X","International journal of hygiene and environmental health","Int J Hyg Environ Health",NA
"0967-7720","Journal of medical biography","J Med Biogr",NA
"1758-1087","Journal of medical biography","J Med Biogr",NA
"1389-2002","Current drug metabolism","Curr Drug Metab",3.731
"1875-5453","Current drug metabolism","Curr Drug Metab",NA
"1529-1839","Optometry (St. Louis, Mo.)","Optometry",NA
"1558-1527","Optometry (St. Louis, Mo.)","Optometry",NA
"1641-9251","International maritime health","Int Marit Health",NA
"2081-3252","International maritime health","Int Marit Health",NA
"0963-9969","Food research international (Ottawa, Ont.)","Food Res Int",6.475
"1873-7145","Food research international (Ottawa, Ont.)","Food Res Int",NA
"1590-8658","Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver","Dig Liver Dis",4.088
"1878-3562","Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver","Dig Liver Dis",NA
"1528-7378","Physician performance & payment report","Physician Perform Paym Rep",NA
"0269-915X","The mycologist","Mycologist",NA
"1471-2105","BMC bioinformatics","BMC Bioinformatics",3.169
"1471-2164","BMC genomics","BMC Genomics",3.969
"1471-2091","BMC biochemistry","BMC Biochem",4.059
"1340-6868","Breast cancer (Tokyo, Japan)","Breast Cancer",4.239
"1880-4233","Breast cancer (Tokyo, Japan)","Breast Cancer",NA
"1060-0558","Contemporary topics in laboratory animal science","Contemp Top Lab Anim Sci",NA
"1606-0997","Journal of health, population, and nutrition","J Health Popul Nutr",2
"2072-1315","Journal of health, population, and nutrition","J Health Popul Nutr",NA
"1467-1026","British journal of perioperative nursing : the journal of the National Association of Theatre Nurses","Br J Perioper Nurs",NA
"0158-4197","The Emu","Emu",1.831
"1448-5540","The Emu","Emu",NA
"1566-0702","Autonomic neuroscience : basic & clinical","Auton Neurosci",3.145
"1872-7484","Autonomic neuroscience : basic & clinical","Auton Neurosci",NA
"0012-4974","Doklady biophysics : proceedings of the Academy of Sciences of the USSR, Biophysics section","Dokl Biophys",NA
"1598-2254","The plant pathology journal","Plant Pathol J",1.795
"2093-9280","The plant pathology journal","Plant Pathol J",NA
"1098-3511","The heart surgery forum","Heart Surg Forum",0.676
"1522-6662","The heart surgery forum","Heart Surg Forum",NA
"1523-3847","Current infectious disease reports","Curr Infect Dis Rep",3.725
"1534-3146","Current infectious disease reports","Curr Infect Dis Rep",NA
"1523-3839","Current interventional cardiology reports","Curr Interv Cardiol Rep",NA
"1534-3103","Current interventional cardiology reports","Curr Interv Cardiol Rep",NA
"1092-8464","Current treatment options in cardiovascular medicine","Curr Treat Options Cardiovasc Med",NA
"1534-3189","Current treatment options in cardiovascular medicine","Curr Treat Options Cardiovasc Med",NA
"1092-8472","Current treatment options in gastroenterology","Curr Treat Options Gastroenterol",NA
"1534-309X","Current treatment options in gastroenterology","Curr Treat Options Gastroenterol",NA
"1092-8480","Current treatment options in neurology","Curr Treat Options Neurol",3.598
"1534-3138","Current treatment options in neurology","Curr Treat Options Neurol",NA
"0940-9602","Annals of anatomy = Anatomischer Anzeiger : official organ of the Anatomische Gesellschaft","Ann Anat",2.698
"1618-0402","Annals of anatomy = Anatomischer Anzeiger : official organ of the Anatomische Gesellschaft","Ann Anat",NA
"1357-6321","International journal of palliative nursing","Int J Palliat Nurs",NA
"2052-286X","International journal of palliative nursing","Int J Palliat Nurs",NA
"1471-2156","BMC genetics","BMC Genet",2.797
"1471-2296","BMC family practice","BMC Fam Pract",NA
"1471-2369","BMC nephrology","BMC Nephrol",NA
"1465-9905","Arthritis research","Arthritis Res",NA
"1465-9913","Arthritis research","Arthritis Res",NA
"1465-5411","Breast cancer research : BCR","Breast Cancer Res",6.466
"1465-542X","Breast cancer research : BCR","Breast Cancer Res",NA
"0028-1344","The Nautilus","Nautilus (Philadelphia)",0.741
"1364-8535","Critical care (London, England)","Crit Care",9.097
"1466-609X","Critical care (London, England)","Crit Care",NA
"1471-2199","BMC molecular biology","BMC Mol Biol",2.946
"1532-0456","Comparative biochemistry and physiology. Toxicology & pharmacology : CBP","Comp Biochem Physiol C Toxicol Pharmacol",3.228
"1354-3784","Expert opinion on investigational drugs","Expert Opin Investig Drugs",6.206
"1744-7658","Expert opinion on investigational drugs","Expert Opin Investig Drugs",NA
"1026-4906","Mitteilungen der Osterreichischen Gesellschaft fur Tropenmedizin und Parasitologie","Mitt Osterr Ges Tropmed Parasitol",NA
"1089-7860","Seminars in musculoskeletal radiology","Semin Musculoskelet Radiol",1.777
"1098-898X","Seminars in musculoskeletal radiology","Semin Musculoskelet Radiol",NA
"1527-7941","Advances in skin & wound care","Adv Skin Wound Care",2.347
"1538-8654","Advances in skin & wound care","Adv Skin Wound Care",NA
"1172-1979","Nursing New Zealand","Nurs N Z (1993)",NA
"1398-9219","Traffic (Copenhagen, Denmark)","Traffic",6.215
"1600-0854","Traffic (Copenhagen, Denmark)","Traffic",NA
"1528-9117","Cancer journal (Sudbury, Mass.)","Cancer J",3.36
"1540-336X","Cancer journal (Sudbury, Mass.)","Cancer J",NA
"1474-7596","Genome biology","Genome Biol",NA
"1474-760X","Genome biology","Genome Biol",13.583
"1481-9643","Canadian journal of nursing leadership","Can J Nurs Leadersh",NA
"1868-596X","ALTEX","ALTEX",6.043
"1868-8551","ALTEX","ALTEX",NA
"0261-1929","Alternatives to laboratory animals : ATLA","Altern Lab Anim",1.303
"2632-3559","Alternatives to laboratory animals : ATLA","Altern Lab Anim",NA
"1467-5463","Briefings in bioinformatics","Brief Bioinform",11.622
"1477-4054","Briefings in bioinformatics","Brief Bioinform",NA
"0218-8104","Hand surgery : an international journal devoted to hand and upper limb surgery and related research : journal of the Asia-Pacific Federation of Societies for Surgery of the Hand","Hand Surg",NA
"1793-6535","Hand surgery : an international journal devoted to hand and upper limb surgery and related research : journal of the Asia-Pacific Federation of Societies for Surgery of the Hand","Hand Surg",NA
"1091-3734","Online journal of issues in nursing","Online J Issues Nurs",NA
"1439-6092","Organisms, diversity & evolution","Org Divers Evol",2.94
"1618-1077","Organisms, diversity & evolution","Org Divers Evol",NA
"1234-1010","Medical science monitor : international medical journal of experimental and clinical research","Med Sci Monit",NA
"1643-3750","Medical science monitor : international medical journal of experimental and clinical research","Med Sci Monit",2.649
"1530-5627","Telemedicine journal and e-health : the official journal of the American Telemedicine Association","Telemed J E Health",3.536
"1556-3669","Telemedicine journal and e-health : the official journal of the American Telemedicine Association","Telemed J E Health",NA
"1195-9479","The Canadian journal of urology","Can J Urol",1.344
"1471-2121","BMC cell biology","BMC Cell Biol",4.241
"1471-2350","BMC medical genetics","BMC Med Genet",NA
"1523-3804","Current atherosclerosis reports","Curr Atheroscler Rep",5.113
"1534-6242","Current atherosclerosis reports","Curr Atheroscler Rep",NA
"1523-3774","Current rheumatology reports","Curr Rheumatol Rep",4.592
"1534-6307","Current rheumatology reports","Curr Rheumatol Rep",NA
"1462-4753","British journal of community nursing","Br J Community Nurs",NA
"1497-3715","Dynamics (Pembroke, Ont.)","Dynamics",NA
"1055-3177","Novon : a journal for botanical nomenclature","Novon (St Louis)",0.56
"1523-3790","Current oncology reports","Curr Oncol Rep",5.075
"1534-6269","Current oncology reports","Curr Oncol Rep",NA
"1523-3812","Current psychiatry reports","Curr Psychiatry Rep",5.285
"1535-1645","Current psychiatry reports","Curr Psychiatry Rep",NA
"1525-5794","The health care manager","Health Care Manag (Frederick)",NA
"1550-512X","The health care manager","Health Care Manag (Frederick)",NA
"1382-4147","Heart failure reviews","Heart Fail Rev",4.214
"1573-7322","Heart failure reviews","Heart Fail Rev",NA
"1084-2020","ILAR journal","ILAR J",NA
"1930-6180","ILAR journal","ILAR J",NA
"1531-5681","Disease management advisor","Dis Manag Advis",NA
"1566-0621","Conservation genetics (Print)","Conserv Genet",2.538
"1572-9737","Conservation genetics (Print)","Conserv Genet",NA
"1532-3633","Healthcare hazard management monitor : HHMM : the newsletter of the Center for Healthcare Environmental Management","Healthc Hazard Manage Monit",NA
"0379-5284","Saudi medical journal","Saudi Med J",1.484
"0365-6691","Archivos de la Sociedad Espanola de Oftalmologia","Arch Soc Esp Oftalmol",NA
"1989-7286","Archivos de la Sociedad Espanola de Oftalmologia","Arch Soc Esp Oftalmol",NA
"1530-891X","Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists","Endocr Pract",3.443
"1934-2403","Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists","Endocr Pract",NA
"1527-0904","Western North American naturalist","West N Am Nat",0.569
"1944-8341","Western North American naturalist","West N Am Nat",NA
"1098-0121","Physical review. B, Condensed matter and materials physics","Phys Rev B Condens Matter Mater Phys",NA
"1550-235X","Physical review. B, Condensed matter and materials physics","Phys Rev B Condens Matter Mater Phys",NA
"1387-2877","Journal of Alzheimer's disease : JAD","J Alzheimers Dis",4.472
"1875-8908","Journal of Alzheimer's disease : JAD","J Alzheimers Dis",NA
"0964-8305","International biodeterioration & biodegradation","Int Biodeterior Biodegradation",4.32
"0956-053X","Waste management (New York, N.Y.)","Waste Manag",7.145
"1879-2456","Waste management (New York, N.Y.)","Waste Manag",NA
"1533-2292","Healthcare leadership & management report","Healthc Leadersh Manag Rep",NA
"1728-2985","Urologiia (Moscow, Russia : 1999)","Urologiia",NA
"1471-2202","BMC neuroscience","BMC Neurosci",3.288
"0020-1669","Inorganic chemistry","Inorg Chem",5.165
"1520-510X","Inorganic chemistry","Inorg Chem",NA
"0006-3347","Biologist (London, England)","Biologist (London)",NA
"2516-5151","Biologist (London, England)","Biologist (London)",NA
"0149-175X","Occasional papers (Texas Tech University. Museum)","Occas Pap Tex Tech Univ Mus",NA
"1229-1552","Journal of life science","J Life Sci",NA
"1024-5359","Pathogenesis : the journal of mechanisms in disease processes","Pathogenesis (Amst)",NA
"1607-8535","Pathogenesis : the journal of mechanisms in disease processes","Pathogenesis (Amst)",NA
"1524-4830","States of health","States Health",NA
"1048-4396","The Body positive","Body Posit",NA
"1040-1334","Teaching and learning in medicine","Teach Learn Med",2.414
"1532-8015","Teaching and learning in medicine","Teach Learn Med",NA
"1529-7713","Journal of applied measurement","J Appl Meas",NA
"1567-1356","FEMS yeast research","FEMS Yeast Res",2.796
"1567-1364","FEMS yeast research","FEMS Yeast Res",NA
"0065-1419","Acta neurochirurgica. Supplement","Acta Neurochir Suppl",NA
"1082-720X","Annals of noninvasive electrocardiology : the official journal of the International Society for Holter and Noninvasive Electrocardiology, Inc","Ann Noninvasive Electrocardiol",1.468
"1542-474X","Annals of noninvasive electrocardiology : the official journal of the International Society for Holter and Noninvasive Electrocardiology, Inc","Ann Noninvasive Electrocardiol",NA
"0044-5231","Zoologischer Anzeiger","Zool Anz",1.521
"1470-1626","Reproduction (Cambridge, England)","Reproduction",3.906
"1741-7899","Reproduction (Cambridge, England)","Reproduction",NA
"1471-230X","BMC gastroenterology","BMC Gastroenterol",NA
"1471-213X","BMC developmental biology","BMC Dev Biol",1.978
"1461-1457","The international journal of neuropsychopharmacology","Int J Neuropsychopharmacol",5.176
"1469-5111","The international journal of neuropsychopharmacology","Int J Neuropsychopharmacol",NA
"1526-8004","Seminars in reproductive medicine","Semin Reprod Med",1.303
"1526-4564","Seminars in reproductive medicine","Semin Reprod Med",NA
"1081-454X","Journal of the International Association of Physicians in AIDS Care","J Int Assoc Physicians AIDS Care",NA
"1567-424X","Supplements to Clinical neurophysiology","Suppl Clin Neurophysiol",NA
"1526-498X","Pest management science","Pest Manag Sci",4.845
"1526-4998","Pest management science","Pest Manag Sci",NA
"1535-3702","Experimental biology and medicine (Maywood, N.J.)","Exp Biol Med (Maywood)",2.691
"1535-3699","Experimental biology and medicine (Maywood, N.J.)","Exp Biol Med (Maywood)",NA
"1445-1433","ANZ journal of surgery","ANZ J Surg",1.872
"1445-2197","ANZ journal of surgery","ANZ J Surg",NA
"1471-4922","Trends in parasitology","Trends Parasitol",9.014
"1471-5007","Trends in parasitology","Trends Parasitol",NA
"1471-2377","BMC neurology","BMC Neurol",NA
"1471-2180","BMC microbiology","BMC Microbiol",3.605
"1471-2458","BMC public health","BMC Public Health",NA
"0303-6758","Journal of the Royal Society of New Zealand","J R Soc N Z",2.75
"1175-8899","Journal of the Royal Society of New Zealand","J R Soc N Z",NA
"1471-8278","Molecular ecology notes","Mol Ecol Notes",NA
"1471-8286","Molecular ecology notes","Mol Ecol Notes",NA
"1008-682X","Asian journal of andrology","Asian J Androl",3.285
"1745-7262","Asian journal of andrology","Asian J Androl",NA
"0269-7491","Environmental pollution (Barking, Essex : 1987)","Environ Pollut",8.071
"1873-6424","Environmental pollution (Barking, Essex : 1987)","Environ Pollut",NA
"1099-5129","Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology","Europace",5.214
"1532-2092","Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology","Europace",NA
"0265-931X","Journal of environmental radioactivity","J Environ Radioact",2.674
"1879-1700","Journal of environmental radioactivity","J Environ Radioact",NA
"0956-7976","Psychological science","Psychol Sci",NA
"1467-9280","Psychological science","Psychol Sci",NA
"1471-2334","BMC infectious diseases","BMC Infect Dis",NA
"1527-3954","Clinical leadership & management review : the journal of CLMA","Clin Leadersh Manag Rev",NA
"1553-7072","Clinical leadership & management review : the journal of CLMA","Clin Leadersh Manag Rev",NA
"1462-8902","Diabetes, obesity & metabolism","Diabetes Obes Metab",6.577
"1463-1326","Diabetes, obesity & metabolism","Diabetes Obes Metab",NA
"0937-0633","Fresenius' journal of analytical chemistry","Fresenius J Anal Chem",NA
"1432-1130","Fresenius' journal of analytical chemistry","Fresenius J Anal Chem",NA
"0003-4592","Annali di chimica","Ann Chim",NA
"1612-8877","Annali di chimica","Ann Chim",NA
"1523-0864","Antioxidants & redox signaling","Antioxid Redox Signal",8.401
"1557-7716","Antioxidants & redox signaling","Antioxid Redox Signal",NA
"1077-5595","Child maltreatment","Child Maltreat",NA
"1552-6119","Child maltreatment","Child Maltreat",NA
"1089-3261","Clinics in liver disease","Clin Liver Dis",6.126
"1557-8224","Clinics in liver disease","Clin Liver Dis",NA
"1424-6074","Developments in biologicals","Dev Biol (Basel)",NA
"1662-2960","Developments in biologicals","Dev Biol (Basel)",NA
"0167-6369","Environmental monitoring and assessment","Environ Monit Assess",2.513
"1573-2959","Environmental monitoring and assessment","Environ Monit Assess",NA
"1522-4821","International journal of emergency mental health","Int J Emerg Ment Health",NA
"0047-2425","Journal of environmental quality","J Environ Qual",2.751
"1537-2537","Journal of environmental quality","J Environ Qual",NA
"1353-3452","Science and engineering ethics","Sci Eng Ethics",3.525
"1471-5546","Science and engineering ethics","Sci Eng Ethics",NA
"1094-9194","The veterinary clinics of North America. Exotic animal practice","Vet Clin North Am Exot Anim Pract",NA
"1558-4232","The veterinary clinics of North America. Exotic animal practice","Vet Clin North Am Exot Anim Pract",NA
"1471-2407","BMC cancer","BMC Cancer",NA
"1471-2172","BMC immunology","BMC Immunol",NA
"1472-6939","BMC medical ethics","BMC Med Ethics",2.652
"1471-2288","BMC medical research methodology","BMC Med Res Methodol",NA
"1471-2474","BMC musculoskeletal disorders","BMC Musculoskelet Disord",NA
"1472-6793","BMC physiology","BMC Physiol",NA
"1096-4037","Clinical child and family psychology review","Clin Child Fam Psychol Rev",NA
"1573-2827","Clinical child and family psychology review","Clin Child Fam Psychol Rev",NA
"1525-1578","The Journal of molecular diagnostics : JMD","J Mol Diagn",5.568
"1943-7811","The Journal of molecular diagnostics : JMD","J Mol Diagn",NA
"1099-8004","Biological research for nursing","Biol Res Nurs",2.522
"1552-4175","Biological research for nursing","Biol Res Nurs",NA
"1671-4083","Acta pharmacologica Sinica","Acta Pharmacol Sin",6.15
"1745-7254","Acta pharmacologica Sinica","Acta Pharmacol Sin",NA
"1000-1182","Hua xi kou qiang yi xue za zhi = Huaxi kouqiang yixue zazhi = West China journal of stomatology","Hua Xi Kou Qiang Yi Xue Za Zhi",NA
"2618-0456","Hua xi kou qiang yi xue za zhi = Huaxi kouqiang yixue zazhi = West China journal of stomatology","Hua Xi Kou Qiang Yi Xue Za Zhi",NA
"1001-9332","Ying yong sheng tai xue bao = The journal of applied ecology","Ying Yong Sheng Tai Xue Bao",NA
"1001-4454","Zhong yao cai = Zhongyaocai = Journal of Chinese medicinal materials","Zhong Yao Cai",NA
"1533-7731","American Indian and Alaska native mental health research (Online)","Am Indian Alsk Native Ment Health Res",NA
"0959-3330","Environmental technology","Environ Technol",3.247
"1479-487X","Environmental technology","Environ Technol",NA
"1531-7129","Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology","Otol Neurotol",2.311
"1537-4505","Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology","Otol Neurotol",NA
"1000-0593","Guang pu xue yu guang pu fen xi = Guang pu","Guang Pu Xue Yu Guang Pu Fen Xi",0.589
"1000-8713","Se pu = Chinese journal of chromatography","Se Pu",NA
"1009-2587","Zhonghua shao shang za zhi = Zhonghua shaoshang zazhi = Chinese journal of burns","Zhonghua Shao Shang Za Zhi",NA
"1471-4906","Trends in immunology","Trends Immunol",16.687
"1471-4981","Trends in immunology","Trends Immunol",NA
"1471-4914","Trends in molecular medicine","Trends Mol Med",11.951
"1471-499X","Trends in molecular medicine","Trends Mol Med",NA
"1009-4598","Zhonghua zheng xing wai ke za zhi = Zhonghua zhengxing waike zazhi = Chinese journal of plastic surgery","Zhonghua Zheng Xing Wai Ke Za Zhi",NA
"1472-6904","BMC clinical pharmacology","BMC Clin Pharmacol",NA
"1083-7515","Foot and ankle clinics","Foot Ankle Clin",1.653
"1558-1934","Foot and ankle clinics","Foot Ankle Clin",NA
"0964-704X","Journal of the history of the neurosciences","J Hist Neurosci",0.529
"1744-5213","Journal of the history of the neurosciences","J Hist Neurosci",NA
"1065-1438","Journal of medical speech-language pathology","J Med Speech Lang Pathol",NA
"1531-3433","Current pain and headache reports","Curr Pain Headache Rep",3.494
"1534-3081","Current pain and headache reports","Curr Pain Headache Rep",NA
"1048-891X","International journal of gynecological cancer : official journal of the International Gynecological Cancer Society","Int J Gynecol Cancer",3.437
"1525-1438","International journal of gynecological cancer : official journal of the International Gynecological Cancer Society","Int J Gynecol Cancer",NA
"1028-6020","Journal of Asian natural products research","J Asian Nat Prod Res",1.569
